Compound,Cruise,SampID,replicate,Local_Date,Local_Time,Lat,Long,Part.Conc.nM,Diss.Conc.nM,Total_nM,Perc_Diss
Homarine,TN397,S4_2400,A,24/11/2021,23:04:00,19.639,-138.6135,0.0111487608471275,0.03301050455268577,0.04415926539981327,0.7475329187162012
Homarine,TN397,S4_2400,A,24/11/2021,23:05:00,19.639,-138.6135,0.0111487608471275,0.03301050455268577,0.04415926539981327,0.7475329187162012
Homarine,TN397,S4_2400,A,24/11/2021,23:06:00,19.639,-138.6135,0.0111487608471275,0.03301050455268577,0.04415926539981327,0.7475329187162012
Homarine,TN397,S4_2400,B,24/11/2021,23:04:00,19.639,-138.6135,0.008815727389087,0.04497027018575718,0.05378599757484418,0.8360962371885032
Homarine,TN397,S4_2400,B,24/11/2021,23:05:00,19.639,-138.6135,0.008815727389087,0.04497027018575718,0.05378599757484418,0.8360962371885032
Homarine,TN397,S4_2400,B,24/11/2021,23:06:00,19.639,-138.6135,0.008815727389087,0.04497027018575718,0.05378599757484418,0.8360962371885032
Homarine,TN397,S4_2400,C,24/11/2021,23:04:00,19.639,-138.6135,0.00860442078805352,0.06388334102457346,0.07248776181262698,0.8812982968036037
Homarine,TN397,S4_2400,C,24/11/2021,23:05:00,19.639,-138.6135,0.00860442078805352,0.06388334102457346,0.07248776181262698,0.8812982968036037
Homarine,TN397,S4_2400,C,24/11/2021,23:06:00,19.639,-138.6135,0.00860442078805352,0.06388334102457346,0.07248776181262698,0.8812982968036037
Homarine,TN397,S4_600,A,24/11/2021,06:19:00,19.6377,-138.6154,0.01590254993145807,0.08168162515304249,0.09758417508450055,0.8370376147803918
Homarine,TN397,S4_600,B,24/11/2021,06:19:00,19.6377,-138.6154,0.01673755307502042,0.11966944578899293,0.13640699886401333,0.877296962660205
Homarine,TN397,S4_600,C,24/11/2021,06:19:00,19.6377,-138.6154,0.0164749611812087,0.12889570743555415,0.14537066861676284,0.8866692893554666
Homarine,TN397,S4_1800,A,24/11/2021,17:36:00,19.69,-138.58,0.01171398356431628,0.0489473044868613,0.06066128805117758,0.8068952384520149
Homarine,TN397,S4_1800,A,24/11/2021,17:40:00,19.69,-138.58,0.01171398356431628,0.0489473044868613,0.06066128805117758,0.8068952384520149
Homarine,TN397,S4_1800,A,24/11/2021,17:41:00,19.69,-138.58,0.01171398356431628,0.0489473044868613,0.06066128805117758,0.8068952384520149
Homarine,TN397,S4_1800,B,24/11/2021,17:36:00,19.69,-138.58,0.01149107619007186,0.05393861574345472,0.06542969193352657,0.8243752056521031
Homarine,TN397,S4_1800,B,24/11/2021,17:40:00,19.69,-138.58,0.01149107619007186,0.05393861574345472,0.06542969193352657,0.8243752056521031
