mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,RT,mz,dat_type,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,scaled_area,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds,row_id
Creatine,211202_Smp_OBi1_8,NA,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.293243243243245,132.077302,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
Creatine,211202_Smp_OBi1_9,NA,Particulate,1,OBi1_set2,Glucose + NH4 + Homarine,11.293243243243245,132.077302,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14
D-Glucose 6-phosphate,211202_Smp_OBi1_1,26234409.18457359,Particulate,-1,OBi1_set2,Glucose + NH4,13.406842105263156,259.021897,targeted,NA,NA,NA,NA,NA,26234409.18457359,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
D-Glucose 6-phosphate,211202_Smp_OBi1_2,18586621.338187955,Particulate,-1,OBi1_set2,Glucose + NH4,13.406842105263156,259.021897,targeted,NA,NA,NA,NA,NA,18586621.338187955,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
D-Glucose 6-phosphate,211202_Smp_OBi1_3,19282914.36345043,Particulate,-1,OBi1_set2,Glucose + NH4,13.406842105263156,259.021897,targeted,NA,NA,NA,NA,NA,19282914.36345043,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
D-Glucose 6-phosphate,211202_Smp_OBi1_4,6804574.656141963,Particulate,-1,OBi1_set2,Homarine,13.406842105263156,259.021897,targeted,NA,NA,NA,NA,NA,12678202.66132861,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
D-Glucose 6-phosphate,211202_Smp_OBi1_5,5561496.9954463085,Particulate,-1,OBi1_set2,Homarine,13.406842105263156,259.021897,targeted,NA,NA,NA,NA,NA,10362115.131618803,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
D-Glucose 6-phosphate,211202_Smp_OBi1_6,3822253.782609552,Particulate,-1,OBi1_set2,Homarine,13.406842105263156,259.021897,targeted,NA,NA,NA,NA,NA,7121577.839580803,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
D-Glucose 6-phosphate,211202_Smp_OBi1_7,17196039.50084433,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.406842105263156,259.021897,targeted,NA,NA,NA,NA,NA,19726816.73789805,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
D-Glucose 6-phosphate,211202_Smp_OBi1_8,19374725.957627885,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,13.406842105263156,259.021897,targeted,NA,NA,NA,NA,NA,22226145.05475842,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
