mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,z,sample_set,dat_type,RT,mz,MS2,add_annotation,row_id,plot_label
HILICPos_148,Particulate,0.01207743950392495,0.5076849066167616,17.14304597372913,1.0455216459144419,0.006131533746719725,0.10327030601972022,0.5848016012927253,0.023248732122978955,1,OBi1_set2,nontargeted,9.295,161.09213,56.05025:2097216 58.02952:115371 60.04514:91725 68.05024:15555 69.03416:26565 72.04507:46879 73.07672:109788 74.02431:33286 74.06077:59334 84.04497:6898463 84.24619:9007 85.02619:10208 85.02901:196335 87.04461:19573 95.01318:23830 97.07651:161160 98.06049:503142 101.07137:435268 102.04969:11045 102.05538:505872 115.08688:1152421 116.0709:521184 116.0756:18824 119.08176:48886 122.60285:11162 125.61523:10211 126.05505:38599 130.05:914620 143.08148:58731 144.06555:3829216 150.44739:11469 157.41405:10932,[M+H],175,"
RT = 9.3
 mz = 161.092+"
HILICPos_153,Particulate,0.026813791154602955,0.02333684355537265,350.2075101006385,5.814275773747437,6.257492493014042e-4,0.13182258129548236,0.21874277229782602,0.006100297269117027,1,OBi1_set2,nontargeted,9.853,162.07591,52.65947:7318 54.24166:7841 56.25982:6371 59.03201:6282 60.64181:7084 68.05021:12687 70.06583:154785 72.47549:7261 74.23991:7246 85.02896:98206 98.06051:3361624 116.07092:981399 131.03403:21880 138.99281:41025 144.06558:338156 161.98769:7374 162.07613:101648,[M+H],180,"
RT = 9.9
 mz = 162.076+"
HILICPos_164,Particulate,0.005137424325043331,0.1629544516590094,0.24461579328773955,0.8009164571907283,8.371661638270924e-4,0.10327030601972022,0.5715321805908565,0.006624532252892644,1,OBi1_set2,nontargeted,4.58,166.08621,60.58156:7315 64.53271:7221 86.689:6808 93.0705:20134 94.01263:6404 103.05464:82665 107.04951:23743 109.96803:6787 120.08109:1194235 131.04947:21213 140.44695:6783,[M+H],186,"
RT = 4.6
 mz = 166.086+"
HILICPos_168,Particulate,0.08642550994861901,0.4484492051964928,1.758166075376034,1.1438999569210093,0.03875745124515978,0.22289986496798295,0.583886091636921,0.07256445209375283,1,OBi1_set2,nontargeted,11.425,170.04239,NA,[M+H],189,"
RT = 11.4
 mz = 170.042+"
HILICPos_180,Particulate,0.0543380635037186,0.01049586033621344,4.779672874850358,3.956326630247549,5.703247254753271e-4,0.1774343192370849,0.154329781504304,0.006100297269117027,1,OBi1_set2,nontargeted,11.733,178.00879,NA,[M+H],199,"
RT = 11.7
 mz = 178.009+"
HILICPos_189,Particulate,0.30545171251680725,0.6734349258465985,1.236389072423321,0.9657742163201749,0.2057018513684726,0.4224576728421603,0.7043974511728788,0.23545746508844034,1,OBi1_set2,nontargeted,10.913,185.03253,NA,[M+H],203,"
RT = 10.9
 mz = 185.033+"
HILICPos_192,Particulate,0.01462324421902704,0.006614227055946146,76.76676669387447,52.81520124369351,9.67214575591967e-5,0.10327030601972022,0.154329781504304,0.0025147578965391145,1,OBi1_set2,nontargeted,11.847,188.05562,NA,[M+H],205,"
RT = 11.8
 mz = 188.056+"
HILICPos_193,Particulate,0.060869699911747566,0.13891857501697277,4.001523523023355,1.1252831241838144,0.008455931973450724,0.18090762345933017,0.5715321805908565,0.028499622577185774,1,OBi1_set2,nontargeted,7.467,188.07089,NA,[M+H],206,"
RT = 7.5
 mz = 188.071+"
HILICPos_197,Particulate,0.24050177591537086,0.35873058767077265,2.1112054132963047,0.6593570861019048,0.08627534340998547,0.3647232589596129,0.583886091636921,0.12267275391107309,1,OBi1_set2,nontargeted,4.01,191.04855,NA,[M+H],208,"
RT = 4
 mz = 191.049+"
HILICPos_198,Particulate,0.00666462464702945,0.3503224347232782,0.041199071922996613,1.1162981674765633,0.0023347675328641254,0.10327030601972022,0.583886091636921,0.01266751153101743,1,OBi1_set2,nontargeted,13.621,191.10287,NA,[M+H],209,"
RT = 13.6
 mz = 191.103+"
