mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
Adenosine diphosphate,L-Proline,Particulate,1.5483012444195434,3.781470102387675,0.29648459450846126,0.7,0.5157224050621412,1
Adenosine diphosphate,L-Serine,Particulate,1.9846974848089005,2.985258196223626,0.32095405315342157,0.7,0.3767557499297897,0.4
Adenosine diphosphate,L-Tyrosine,Particulate,1.5153993464273074,1.3949577296869844,0.6505055480574946,0.7,0.5127941721806835,1
Adenosine monophosphate,Adenine,Particulate,5.342801806721365,3.266539602897607,0.43147770062477603,0.7,0.3709931218444033,0.7
Adenosine monophosphate,Adenosine,Particulate,3.55777722643726,3.918280979553055,0.3398037426591231,0.7,0.26900820259422986,0.4
Adenosine monophosphate,Citrulline,Particulate,3.9753838576647134,28.991958344565212,0.21656653322441183,0.7,0.2707473983065831,0.2
Adenosine monophosphate,Cytosine,Particulate,2.9487630230050916,2.514913964524787,0.3515377510466091,0.7,0.2737607226915788,0.7
Adenosine monophosphate,Deoxyadenosine,Particulate,3.06851679649448,3.5777530328697575,0.31050307427709617,0.7,0.3090320186670331,0.7
Adenosine monophosphate,Guanosine,Particulate,3.51955887430536,4.126789239428216,0.353454693993233,0.7,0.3149714981289119,0.7
Adenosine monophosphate,L-Arginine,Particulate,3.1958490673139197,5.204068582227512,0.28521982418168496,0.7,0.2941646243689255,0.4
Adenosine monophosphate,L-Glutamic acid,Particulate,0.7539099979567766,1.4813651299580315,0.6310254597632454,1,0.702191337842764,1
Adenosine monophosphate,L-Homoserine,Particulate,0.7526528217177614,0.9735729213604218,0.9714519961116643,1,0.6889918947784295,1
Adenosine monophosphate,L-Lysine,Particulate,3.196396403948171,2.918451898998425,0.3723022195048598,0.7,0.30291648784757724,0.4
Adenosine monophosphate,L-Proline,Particulate,2.60098836963717,4.813552844755707,0.29334572624724603,0.7,0.3293720055625569,0.7
Adenosine monophosphate,L-Serine,Particulate,3.321296217261115,3.7352658740336064,0.3043598506092607,0.7,0.2837797753011977,0.4
Adenosine monophosphate,L-Tyrosine,Particulate,2.58980659034875,1.786206879052333,0.5092471019341724,0.7,0.3246300416477012,0.7
Adenosine triphosphate,Adenine,Particulate,2.009008905746961,3.0624869354379602,0.41473568860089155,0.4,0.5646685740496167,1
Adenosine triphosphate,Adenosine,Particulate,1.2937172301173772,4.149439187388876,0.3644688444033809,0.4,0.751336270829736,0.7
Adenosine triphosphate,Adenosine monophosphate,Particulate,0.6568611441688434,1.1040767797474405,0.8738412170304174,1,0.6417649835856347,1
Adenosine triphosphate,Citrulline,Particulate,1.5333272881875042,29.981688578140464,0.24064426161060606,0.4,0.5703371228454446,1
Adenosine triphosphate,Cytosine,Particulate,1.0073021292324023,2.372809381498642,0.37983737391781,0.4,0.9915373757613251,1
